AREA;POSTCODE;MEDIAN_PRICE;ROOMS;STDEV;AVERAGE_PRICE;CONFIDENCE;95_INTERVAL_MIN;95_INTERVAL_MAX;PORPOTION_ROOMS;FLATMATE_AVERAGE_BUDGET;FLATMATE_MEDIAN_BUDGET;FLATMATE_ADS;PORPOTION_FLATMATE;MED_PRICE-MED_BUDDET;;
Notting Hill;W11;1040;348;1141;1339;120;1219;1458;1,874192159;756,248;700;9110;1,734864686;-340;;- £340
Olympic Park;E20;824,5;24;176;844;70;773;914;0,129254632;647,332;600;1500;0,285652802;-225;;- £224,5
Palmers Green;N13;590;65;145;596;35;561;632;0,350064627;643,9437229;600;907;0,172724728;10;;+ £10
Peckham;SE15;626,5;104;228;669;44;625;713;0,560103404;715,059;700;4981;0,948557739;74;;+ £73,5
Penge;SE20;575;31;243;644;86;559;730;0,166953899;638,1979045;600;847;0,161298616;25;;+ £25
Plaistow;E13;565;73;375;647;86;561;733;0,393149505;647,332;600;1500;0,285652802;35;;+ £35
Plumstead / Woolwich;SE18;562,5;152;189;596;30;566;626;0,818612667;630,4289898;550;672;0,127972455;-13;;- £12,5
Putney;SW15;750;363;889;865;91;774;956;1,954976303;737,422;700;7212;1,373418674;-50;;- £50
Shepherds Bush;W12;780;488;371;825;33;792;858;2,62817751;732,107;700;6282;1,196313936;-80;;- £80
Shoreditch / Whitechapel;E1;780;686;637;958;48;910;1006;3,694528221;761,213;700;8460;1,611081805;-80;;- £80
South and West Wimbledon / Raynes Park;SW20;700;53;555;805;149;656;954;0,285437312;675,921;650;1799;0,342592928;-50;;- £50
South Kensington / Knightsbridge;SW7;1500;57;2801;2198;727;1471;2925;0,30697975;774,386;736;7303;1,390748277;-764;;- £764
South Lambeth;SW8;800;106;697;973;133;841;1106;0,570874623;759,842;700;9506;1,810277026;-100;;- £100
South Woodford;E18;600;47;147;610;42;568;652;0,253123654;644,151;600;1164;0,221666575;0;;+ £0
Southgate;N14;556,5;46;162;602;47;555;649;0,247738044;643,9437229;600;907;0,172724728;44;;+ £43,5
St John's Wood;NW8;931;141;1133;1257;187;1070;1444;0,759370961;741,646;700;5929;1,12909031;-231;;- £231
St Paul's;EC4;1841;7;3154;3093;2336;757;5429;0,037699268;780,852;750;5827;1,10966592;-1091;;- £1091
Stamford Hill / South Tottenham;N15;650;112;282;703;52;651;755;0,603188281;690,238;650;2482;0,47266017;0;;+ £0
Stockwell;SW9;780;304;540;888;61;827;948;1,637225334;737,462;700;7329;1,395699592;-80;;- £80
Stoke Newington;N16;750;174;789;990;117;873;1107;0,937096079;737,231;700;6239;1,188125223;-50;;- £50
Strand / Holborn;WC2;1603;16;625;1651;306;1344;1957;0,086169754;780,636;750;5827;1,10966592;-853;;- £853
Stratford / West Ham;E15;650;175;478;791;71;720;861;0,942481689;725,58;700;5866;1,117092892;50;;+ £50
Streatham;SW16;650;194;334;693;47;646;740;1,044808272;689,608;650;1997;0,380299098;0;;+ £0
Sydenham;SE26;545;25;118;562;46;516;609;0,134640241;641,073;600;1425;0,271370162;55;;+ £55
